category,subtype,common_name_ro,common_name_en,scientific_name,indoor_ok,toxic_flag,edible_part,primary_use,fertility_need,pruning_need,growth_rate,kc_ini,kc_mid,kc_end,kc_dev,root_depth_min_m,root_depth_max_m,depletion_fraction_p,allowable_depletion_pct,stage_days_ini,stage_days_dev,stage_days_mid,stage_days_end,growth_cycle,maturity_days_min,maturity_days_max,juvenile_years_to_bearing,spacing_row_m,spacing_plant_m,default_density_plants_m2,canopy_cover_max_frac,shade_tolerance,drought_tolerance,salinity_tolerance,typ_irrig_method,kc_source_tag,root_depth_source,water_stress_sensitive_stage,ph_min,ph_max,frost_tolerance_c,temp_opt_min_c,temp_opt_max_c
Agriculture,PLANT_WHEAT,Grâu,Wheat,Triticum aestivum,No,No,Grain,Grain,MEDIUM,LOW,FAST,0.3,1.15,0.25,,1.0,1.5,0.55,55,25,40,50,25,Annual,120,180,0,0.15,0.03,222.22,0.9,LOW,MED,MED,SPRINKLER,FAO56,FAO56,Flowering/Grain filling,5.5,7.5,-20,15,25
Agriculture,PLANT_BARLEY,Orz,Barley,Hordeum vulgare,No,No,Grain,Grain,MEDIUM,LOW,FAST,0.3,1.15,0.25,,1.0,1.5,0.55,55,20,30,40,20,Annual,90,120,0,0.15,0.03,222.22,0.9,LOW,HIGH,HIGH,SPRINKLER,FAO56,FAO56,Flowering/Grain filling,6.0,8.0,-15,15,22
Agriculture,PLANT_MAIZE,Porumb,Maize (Corn),Zea mays,No,No,Grain,Grain,HIGH,LOW,FAST,0.3,1.15,0.4,,1.0,1.7,0.55,55,20,30,50,20,Annual,100,140,0,0.75,0.2,6.67,1.0,LOW,MED,LOW,SPRINKLER,FAO56,FAO56,Silking/Grain filling,5.5,7.5,0,20,30
Agriculture,PLANT_RICE,Orez,Rice,Oryza sativa,No,No,Grain,Grain,HIGH,LOW,FAST,1.2,1.2,0.9,,0.5,1.0,0.2,20,20,30,60,30,Annual,100,150,0,0.25,0.1,40.0,1.0,LOW,NONE,LOW,SURFACE,FAO56,FAO56,Flowering,5.0,7.0,0,25,32
Agriculture,PLANT_OAT,Ovăz,Oat,Avena sativa,No,No,Grain,Grain,MEDIUM,LOW,FAST,0.3,1.15,0.25,,1.0,1.5,0.55,55,20,30,40,20,Annual,90,120,0,0.15,0.03,222.22,0.9,LOW,MED,MED,RAINFED,FAO56,FAO56,Flowering/Grain filling,5.5,7.5,-10,15,25
Agriculture,PLANT_SORGHUM,Sorg,Sorghum,Sorghum bicolor,No,No,Grain,Grain,MEDIUM,LOW,FAST,0.3,1.15,0.3,,1.0,2.0,0.55,55,25,35,50,20,Annual,100,120,0,0.7,0.15,9.52,0.9,LOW,HIGH,MED,RAINFED,FAO56,FAO56,Flowering,5.5,7.5,0,25,32
Agriculture,PLANT_MILLET,Mei,Millet,Pennisetum glaucum,No,No,Grain,Grain,LOW,LOW,FAST,0.3,1.1,0.25,,1.0,2.0,0.55,55,20,30,40,20,Annual,60,90,0,0.5,0.1,20.0,0.9,LOW,HIGH,MED,RAINFED,FAO56,FAO56,Flowering,5.0,7.5,0,25,35
Agriculture,PLANT_SOYBEAN,Soia,Soybean,Glycine max,No,No,Seed,Oilseed,MEDIUM,LOW,MEDIUM,0.5,1.15,0.35,,0.6,1.3,0.5,50,25,35,40,20,Annual,90,120,0,0.5,0.1,20.0,0.9,LOW,MED,MED,SPRINKLER,FAO56,FAO56,Flowering/Pod filling,5.5,7.0,0,20,30
Agriculture,PLANT_PEANUT,Arahide,Peanut,Arachis hypogaea,No,No,Seed,Oilseed,LOW,LOW,MEDIUM,0.5,1.0,0.7,,0.5,1.0,0.5,50,20,30,60,20,Annual,120,150,0,0.6,0.15,11.11,0.8,LOW,MED,MED,SPRINKLER,FAO56,FAO56,Flowering/Peg formation,5.5,6.5,0,20,30
Agriculture,PLANT_SUNFLOWER,Floarea-soarelui,Sunflower,Helianthus annuus,No,No,Seed,Oilseed,MEDIUM,LOW,MEDIUM,0.4,1.0,0.35,,0.8,1.5,0.45,45,25,35,50,20,Annual,80,120,0,0.7,0.3,4.76,0.8,LOW,MED,MED,RAINFED,FAO56,FAO56,Flowering/Seed filling,6.0,7.5,0,20,30
Agriculture,PLANT_RAPESEED,Rapiță,Rapeseed (Canola),Brassica napus,No,No,Seed,Oilseed,HIGH,LOW,FAST,0.3,1.15,0.3,,1.0,1.5,0.6,60,20,40,50,20,Annual,90,120,0,0.3,0.1,33.33,0.9,LOW,MED,MED,RAINFED,FAO56,FAO56,Flowering/Pod filling,6.0,7.5,-5,15,25
Agriculture,PLANT_COTTON,Bumbac,Cotton,Gossypium hirsutum,No,No,Fiber (boll),Fiber,MEDIUM,LOW,MEDIUM,0.5,1.15,0.65,,1.0,1.7,0.65,65,30,50,60,30,Annual,150,180,0,1.0,0.2,5.0,0.8,LOW,MED,HIGH,SURFACE,FAO56,FAO56,Flowering/Boll development,5.5,7.5,0,20,30
Agriculture,PLANT_SUGARCANE,Trestie de zahăr,Sugarcane,Saccharum officinarum,No,No,Stem (juice),Sugar,HIGH,LOW,FAST,0.5,1.2,0.9,,1.2,2.0,0.65,65,30,90,240,60,Perennial,300,450,0,1.5,0.2,3.33,1.0,LOW,MED,MED,SURFACE,FAO56,FAO56,Stem elongation,6.0,8.0,5,25,35
Agriculture,PLANT_SUGARBEET,Sfeclă de zahăr,Sugar beet,Beta vulgaris,No,No,Root,Sugar,HIGH,LOW,FAST,0.5,1.15,0.8,,0.7,1.2,0.55,55,25,45,70,30,Annual,150,180,0,0.5,0.25,8.0,0.9,LOW,MED,HIGH,SPRINKLER,FAO56,FAO56,Root enlargement,6.0,8.0,-5,18,25
Agriculture,PLANT_FLAX,In,Flax,Linum usitatissimum,No,No,Seed/Fiber,Fiber,MEDIUM,LOW,FAST,0.5,1.0,0.8,,1.0,1.5,0.5,50,20,30,40,20,Annual,90,120,0,0.2,0.05,100.0,0.9,LOW,LOW,LOW,RAINFED,FAO56,FAO56,Flowering,5.5,7.5,-2,15,25
Agriculture,PLANT_SAFFLOWER,Șofrănel,Safflower,Carthamus tinctorius,No,No,Seed (oil),Oilseed,LOW,LOW,FAST,0.4,1.0,0.8,,1.0,2.0,0.6,60,25,40,50,25,Annual,120,150,0,1.0,0.15,6.67,0.8,LOW,HIGH,MED,RAINFED,FAO56,FAO56,Flowering,6.0,8.0,0,20,30
Agriculture,PLANT_SESAME,Susan,Sesame,Sesamum indicum,No,No,Seed (oil),Oilseed,LOW,LOW,FAST,0.5,1.0,0.8,,1.0,1.5,0.6,60,20,30,40,20,Annual,90,110,0,1.0,0.1,10.0,0.8,LOW,HIGH,MED,RAINFED,FAO56,FAO56,Flowering,5.0,8.0,2,25,35
Agriculture,PLANT_CASTOR,Ricin,Castorbean,Ricinus communis,No,Yes,None,Oilseed,MEDIUM,LOW,FAST,0.5,1.0,0.8,,1.0,2.0,0.5,50,30,50,80,30,Annual,150,180,0,1.0,0.5,2.0,0.7,LOW,MED,MED,RAINFED,FAO56,FAO56,Flowering,6.0,7.5,5,20,30
Agriculture,PLANT_TOBACCO,Tutun,Tobacco,Nicotiana tabacum,No,Yes,Leaf (cured),Stimulant,HIGH,LOW,MEDIUM,0.5,1.05,0.8,,0.8,1.5,0.5,50,30,40,60,30,Annual,100,130,0,1.0,0.5,2.0,0.9,LOW,LOW,MED,SPRINKLER,EST,EST,Leaf growth (mid-season),5.5,7.5,2,20,30
Agriculture,PLANT_ALFALFA,Lucernă,Alfalfa,Medicago sativa,No,No,Forage,Forage,MEDIUM,HIGH,FAST,0.4,1.2,1.15,,1.0,2.0,0.55,55,20,20,60,10,Perennial,30,40,0,0.2,0.1,50.0,1.0,LOW,MED,MED,SPRINKLER,FAO56,FAO56,Regrowth,6.5,8.0,-25,18,28
Gardening,PLANT_TOMATO,Tomată,Tomato,Solanum lycopersicum,No,No,Fruit,Vegetable,HIGH,MEDIUM,FAST,0.7,1.05,0.8,,0.7,1.5,0.4,40,30,40,50,20,Annual,60,90,0,1.0,0.5,2.0,0.8,LOW,LOW,MED,DRIP,FAO56,FAO56,Flowering/Fruit set,5.5,7.0,0,18,30
Gardening,PLANT_PEPPER,Ardei gras,Bell Pepper,Capsicum annuum,No,No,Fruit,Vegetable,HIGH,LOW,FAST,0.7,1.05,0.85,,0.5,1.0,0.3,30,30,40,50,20,Annual,60,90,0,0.6,0.4,4.17,0.7,LOW,LOW,LOW,DRIP,FAO56,FAO56,Flowering/Fruit set,5.5,7.0,0,20,30
Gardening,PLANT_EGGPLANT,Vânătă,Eggplant,Solanum melongena,No,No,Fruit,Vegetable,HIGH,LOW,FAST,0.7,1.05,0.85,,0.7,1.2,0.45,45,30,40,50,20,Annual,70,100,0,0.9,0.5,2.22,0.8,LOW,LOW,LOW,DRIP,FAO56,FAO56,Flowering/Fruit set,5.5,7.5,0,22,30
